author_given	author_family	affiliation	DOI
Samuel	Yeom	Carnegie Mellon University	10.1145/3351095.3372845
Matt	Fredrikson	Carnegie Mellon University	10.1145/3351095.3372845
Frank	Marcinkowski	University of DÃ¼sseldorf, Germany	10.1145/3351095.3372867
Kimon	Kieslich	University of DÃ¼sseldorf, Germany	10.1145/3351095.3372867
Christopher	Starke	University of DÃ¼sseldorf, Germany	10.1145/3351095.3372867
Marco	LÃ¼nich	University of DÃ¼sseldorf, Germany	10.1145/3351095.3372867
Manoel Horta	Ribeiro	EPFL	10.1145/3351095.3372879
Raphael	Ottoni	UFMG	10.1145/3351095.3372879
Robert	West	EPFL	10.1145/3351095.3372879
VirgÃ­lio A. F.	Almeida	UFMG	10.1145/3351095.3372879
Wagner	Meira	UFMG	10.1145/3351095.3372879
Kit T.	Rodolfa	Carnegie Mellon University	10.1145/3351095.3372863
Erika	Salomon	University of Chicago	10.1145/3351095.3372863
Lauren	Haynes	University of Chicago	10.1145/3351095.3372863
IvÃ¡n Higuera	Mendieta	University of Chicago	10.1145/3351095.3372863
Jamie	Larson	Los Angeles City Attorney's Office	10.1145/3351095.3372863
Rayid	Ghani	Carnegie Mellon University	10.1145/3351095.3372863
Gianclaudio	Malgieri	Vrije Universiteit Brussel, Brissels, Belgium	10.1145/3351095.3372868
Chelsea	Barabas	Massachusetts Institute of Technology	10.1145/3351095.3372859
Colin	Doyle	Harvard Law School	10.1145/3351095.3372859
JB	Rubinovitz	Massachusetts Institute of Technology	10.1145/3351095.3372859
Karthik	Dinakar	Harvard Law School	10.1145/3351095.3372859
Bogdan	Kulynych	EPFL	10.1145/3351095.3372853
Rebekah	Overdorf	EPFL	10.1145/3351095.3372853
Carmela	Troncoso	EPFL	10.1145/3351095.3372853
Seda	GÃ¼rses	TU Delft / KU Leuven	10.1145/3351095.3372853
David	Pujol	Duke University	10.1145/3351095.3372872
Ryan	McKenna	University of Massachusetts, Amherst	10.1145/3351095.3372872
Satya	Kuppam	University of Massachusetts, Amherst	10.1145/3351095.3372872
Michael	Hay	Colgate University	10.1145/3351095.3372872
Ashwin	Machanavajjhala	Duke University	10.1145/3351095.3372872
Gerome	Miklau	University of Massachusetts, Amherst	10.1145/3351095.3372872
Dylan	Slack	University of California, Irvine	10.1145/3351095.3372839
Sorelle A.	Friedler	Haverford College	10.1145/3351095.3372839
Emile	Givental	Haverford College	10.1145/3351095.3372839
Elettra	Bietti	Harvard Law School	10.1145/3351095.3372860
Petros	Terzis	University of Winchester, Winchester, UK	10.1145/3351095.3373152
Anne L.	Washington	New York University	10.1145/3351095.3372844
Rachel	Kuo	New York University	10.1145/3351095.3372844
Alejandro	Noriega-Campero	Prosperia Labs	10.1145/3351095.3375784
Bernardo	Garcia-Bulle	MIT	10.1145/3351095.3375784
Luis Fernando	Cantu	ITAM, Mexico City, Mexico	10.1145/3351095.3375784
Michiel A.	Bakker	MIT	10.1145/3351095.3375784
Luis	Tejerina	IADB	10.1145/3351095.3375784
Alex	Pentland	MIT	10.1145/3351095.3375784
Rediet	Abebe	Harvard University	10.1145/3351095.3372871
Solon	Barocas	Microsoft Research and Cornell University	10.1145/3351095.3372871
Jon	Kleinberg	Cornell University	10.1145/3351095.3372871
Karen	Levy	Cornell University	10.1145/3351095.3372871
Manish	Raghavan	Cornell University	10.1145/3351095.3372871
David G.	Robinson	Cornell University	10.1145/3351095.3372871
Ben	Wagner	Vienna University of Economics and Business	10.1145/3351095.3372856
Krisztina	Rozgonyi	University of Vienna	10.1145/3351095.3372856
Marie-Therese	Sekwenz	Vienna University of Economics and Business	10.1145/3351095.3372856
Jennifer	Cobbe	University of Cambridge	10.1145/3351095.3372856
Jatinder	Singh	University of Cambridge	10.1145/3351095.3372856
Ehsan	Toreini	Newcastle University, United Kingdom	10.1145/3351095.3372834
Mhairi	Aitken	Newcastle University, United Kingdom	10.1145/3351095.3372834
Kovila	Coopamootoo	Newcastle University, United Kingdom	10.1145/3351095.3372834
Karen	Elliott	Newcastle University, United Kingdom	10.1145/3351095.3372834
Carlos Gonzalez	Zelaya	Newcastle University, United Kingdom	10.1145/3351095.3372834
Aad	van Moorsel	Newcastle University, United Kingdom	10.1145/3351095.3372834
Suresh	Venkatasubramanian	University of Utah	10.1145/3351095.3372876
Mark	Alfano	Macquarie University	10.1145/3351095.3372876
Ravit	Dotan	University of California	10.1145/3351095.3373157
Smitha	Milli	University of California	10.1145/3351095.3373157
Yunfeng	Zhang	IBM Research AI	10.1145/3351095.3372852
Q. Vera	Liao	IBM Research AI	10.1145/3351095.3372852
Rachel K. E.	Bellamy	IBM Research AI	10.1145/3351095.3372852
Eun Seo	Jo	Stanford University	10.1145/3351095.3372829
Timnit	Gebru	Google	10.1145/3351095.3372829
Vidushi	Marda	Article 19	10.1145/3351095.3372865
Shivangi	Narayan	Jawaharlal Nehru University	10.1145/3351095.3372865
R. Stuart	Geiger	University of California	10.1145/3351095.3372862
Kevin	Yu	University of California	10.1145/3351095.3372862
Yanlai	Yang	University of California	10.1145/3351095.3372862
Mindy	Dai	University of California	10.1145/3351095.3372862
Jie	Qiu	University of California	10.1145/3351095.3372862
Rebekah	Tang	University of California	10.1145/3351095.3372862
Jenny	Huang	University of California	10.1145/3351095.3372862
Milad	Nasr	University of Massachusetts Amherst	10.1145/3351095.3375783
Michael Carl	Tschantz	International Computer Science Institute	10.1145/3351095.3375783
Christina	Ilvento	Harvard University	10.1145/3351095.3372848
Meena	Jagadeesan	Harvard University	10.1145/3351095.3372848
Shuchi	Chawla	University of Wisconsin-Madison	10.1145/3351095.3372848
Chris	Sweeney	MIT	10.1145/3351095.3372837
Maryam	Najafian	MIT	10.1145/3351095.3372837
L. Elisa	Celis	Yale University	10.1145/3351095.3372858
Anay	Mehrotra	IIT Kanpur	10.1145/3351095.3372858
Nisheeth K.	Vishnoi	Yale University	10.1145/3351095.3372858
Lydia T.	Liu	University of California	10.1145/3351095.3372861
Ashia	Wilson	Microsoft Research	10.1145/3351095.3372861
Nika	Haghtalab	Cornell University	10.1145/3351095.3372861
Adam Tauman	Kalai	Microsoft Research	10.1145/3351095.3372861
Christian	Borgs	Microsoft Research	10.1145/3351095.3372861
Jennifer	Chayes	Microsoft Research	10.1145/3351095.3372861
Galen	Harrison	University of Chicago	10.1145/3351095.3372831
Julia	Hanson	University of Chicago	10.1145/3351095.3372831
Christine	Jacinto	University of Chicago	10.1145/3351095.3372831
Julio	Ramirez	University of Chicago	10.1145/3351095.3372831
Blase	Ur	University of Chicago	10.1145/3351095.3372831
Lizhen	Liang	Syracuse University	10.1145/3351095.3375623
Daniel E.	Acuna	Syracuse University	10.1145/3351095.3375623
Michael	Castelle	University of Warwick	10.1145/3351095.3373156
Jared	Moore	University of Washington	10.1145/3351095.3372854
Jo	Bates	University of Sheffield, Sheffield, UK	10.1145/3351095.3372832
David	Cameron	University of Sheffield, Sheffield, UK	10.1145/3351095.3372832
Alessandro	Checco	University of Sheffield, Sheffield, UK	10.1145/3351095.3372832
Paul	Clough	University of Sheffield, Sheffield, UK and Peak Indicators, Chesterfield, UK	10.1145/3351095.3372832
