author_given	author_family	affiliation	DOI
Hal	Daume III	University of Maryland, USA	10.1145/3531146.3534632
Renkun	Ni	University of Maryland, USA	10.1145/3531146.3534632
Nicolas	Usunier	Meta AI, France	10.1145/3531146.3534633
Virginie	Do	Universite Paris Dauphine-PSL, France and Meta AI, France	10.1145/3531146.3534633
Elvis	Dohmatob	Meta AI, France	10.1145/3531146.3534633
Karl-Emi KjÃ¦r	Bilstrup	Department of Computer Science, Aarhus University, Denmark	10.1145/3531146.3534634
Magnus HÃ¸holt	Kaspersen	Department of Computer Science, Aarhus University, Denmark	10.1145/3531146.3534634
Ira	Assent	Department of Computer Science, Aarhus University, Denmark	10.1145/3531146.3534634
Simon	Enni	Department of Computer Science, Aarhus University, Denmark	10.1145/3531146.3534634
Marianne Graves	Petersen	Department of Computer Science, Aarhus University, Denmark	10.1145/3531146.3534634
Pola	SchwÃ¶bel	Section for Cognitive Systems, Technical University of Denmark, Denmark	10.1145/3531146.3534635
Peter	Remmers	Technische UniversitÃ¤t Berlin, Germany	10.1145/3531146.3534635
Camila	Laranjeira da Silva	Department of Computer Science, Universidade Federal de Minas Gerais, Brazil	10.1145/3531146.3534636
Joao	Macedo	Department of Computer Science, Universidade Federal de Minas Gerais, Brazil	10.1145/3531146.3534636
Sandra	Avila	Institute of Computing, Universidade Estadual de Campinas, Brazil	10.1145/3531146.3534636
Jefersson	dos Santos	Department of Computer Science, Universidade Federal de Minas Gerais, Brazil	10.1145/3531146.3534636
Yacine	Jernite	Hugging Face, USA	10.1145/3531146.3534637
Huu	Nguyen	Ontocord, USA	10.1145/3531146.3534637
Stella	Biderman	EleutherAI, USA	10.1145/3531146.3534637
Anna	Rogers	University of Copenhagen, Denmark	10.1145/3531146.3534637
Maraim	Masoud	Independent researcher, Ireland	10.1145/3531146.3534637
Valentin	Danchev	University of Essex, United Kingdom	10.1145/3531146.3534637
Samson	Tan	AWS AI Research &amp; Education, USA	10.1145/3531146.3534637
Alexandra Sasha	Luccioni	Hugging Face, Canada	10.1145/3531146.3534637
Nishant	Subramani	Allen Institute for Artificial Intelligence, USA	10.1145/3531146.3534637
Isaac	Johnson	Wikimedia, USA	10.1145/3531146.3534637
Gerard	Dupont	Independent, France	10.1145/3531146.3534637
Jesse	Dodge	Allen Institute for Artificial Intelligence, USA	10.1145/3531146.3534637
Kyle	Lo	Allen Institute for Artificial Intelligence, USA	10.1145/3531146.3534637
Zeerak	Talat	Simon Fraser University, Canada	10.1145/3531146.3534637
Dragomir	Radev	Yale University, USA	10.1145/3531146.3534637
Aaron	Gokaslan	Cornell University, USA	10.1145/3531146.3534637
Somaieh	Nikpoor	CAIDP, Canada	10.1145/3531146.3534637
Peter	Henderson	Stanford University, USA	10.1145/3531146.3534637
Rishi	Bommasani	Stanford University, USA	10.1145/3531146.3534637
Margaret	Mitchell	Hugging Face, USA	10.1145/3531146.3534637
Samantha	Robertson	University of California, Berkeley, USA	10.1145/3531146.3534638
Mark	DÃ­az	Google, USA	10.1145/3531146.3534638
Timo	Speith	Institute of Philosophy and Department of Computer Science, Saarland University, Germany	10.1145/3531146.3534639
Juniper L.	Lovato	Vermont Complex Systems Center, University of Vermont, USA	10.1145/3531146.3534640
Antoine	Allard	DÃ©partement de physique, de gÃ©nie physique et dâ€™optique and Centre interdisciplinaire en modÃ©lisation mathÃ©matique, UniversitÃ© Laval, Canada	10.1145/3531146.3534640
Randall	Harp	Department of Philosophy, University of Vermont, USA	10.1145/3531146.3534640
Jeremiah	Onaolapo	Department of Computer Science, University of Vermont, USA	10.1145/3531146.3534640
Laurent	HÃ©bert-Dufresne	Department of Computer Science, University of Vermont, USA	10.1145/3531146.3534640
Azin	Ghazimatin	Spotify, Germany	10.1145/3531146.3534641
Matthaus	Kleindessner	Amazon Web Services, Germany	10.1145/3531146.3534641
Chris	Russell	Amazon Web Services, Germany	10.1145/3531146.3534641
Ziawasch	Abedjan	Leibniz Universitat Hannover, Germany and Amazon Search, Germany	10.1145/3531146.3534641
Jacek	Golebiowski	Amazon Search, Germany	10.1145/3531146.3534641
Hannah	Brown	National University of Singapore, Singapore	10.1145/3531146.3534642
Katherine	Lee	Cornell University, USA	10.1145/3531146.3534642
Fatemehsadat	Mireshghallah	University of California, San Diego, USA	10.1145/3531146.3534642
Reza	Shokri	National University of Singapore, Singapore	10.1145/3531146.3534642
Florian	TramÃ¨r	Google Research, Switzerland	10.1145/3531146.3534642
Eleonora	ViganÃ²	Institute of Biomedical Ethics and History of Medicine, University of Zurich, Switzerland	10.1145/3531146.3534643
Corinna	Hertweck	University of Zurich, Zurich University of Applied Sciences, Switzerland	10.1145/3531146.3534643
Christoph	Heitz	Zurich University of Applied Sciences, Switzerland	10.1145/3531146.3534643
Michele	Loi	Politecnico di Milano, Italy	10.1145/3531146.3534643
Ioannis	Pastaltzidis	Information Technologies Institute, Centre for Research and Technology Hellas, Greece	10.1145/3531146.3534644
Nikolaos	Dimitriou	Information Technologies Institute, Centre for Research and Technology Hellas, Greece	10.1145/3531146.3534644
Katherine	Quezada-Tavarez	Centre for IT and IP Law, KU Leuven, Belgium	10.1145/3531146.3534644
Stergios	Aidinlis	Trilateral Research, United Kingdom	10.1145/3531146.3534644
Thomas	Marquenie	Centre for IT and IP Law, KU Leuven, Belgium	10.1145/3531146.3534644
Agata	Gurzawska	Trilateral Research, United Kingdom	10.1145/3531146.3534644
Dimitrios	Tzovaras	Information Technologies Institute, Centre for Research and Technology Hellas, Greece	10.1145/3531146.3534644
Joachim	Baumann	Universitiy of Zurich, Switzerland and Zurich University of Applied Sciences, Switzerland	10.1145/3531146.3534645
AnikÃ³	HannÃ¡k	Universitiy of Zurich, Switzerland	10.1145/3531146.3534645
Christoph	Heitz	Zurich University of Applied Sciences, Switzerland	10.1145/3531146.3534645
EfrÃ©n	Cruz CortÃ©s	Michigan Institute of Data Science, Center for the Study of Complex Systems, University of Michigan, USA	10.1145/3531146.3534646
Sarah	Rajtmajer	College of Information Sciences and Technology, Pennsylvania State University, USA	10.1145/3531146.3534646
Debashis	Ghosh	Department of Biostatistics and Informatics, University of Colorado School of Public Health, USA	10.1145/3531146.3534646
Mark	DÃ­az	Google, USA	10.1145/3531146.3534647
Ian	Kivlichan	Jigsaw, Google, USA	10.1145/3531146.3534647
Rachel	Rosen	Jigsaw, Google, USA	10.1145/3531146.3534647
Dylan	Baker	Google, USA	10.1145/3531146.3534647
Razvan	Amironesei	Google, USA	10.1145/3531146.3534647
Vinodkumar	Prabhakaran	Google, USA	10.1145/3531146.3534647
Emily	Denton	Google, USA	10.1145/3531146.3534647
