paper_id	id	country_code
2743	1212	USA
2744	1213	DEU
2744	1214	BIH
2744	1215	CHN
2744	1216	AUT
2744	1217	CHE
2744	1218	LUX
2745	1219	GBR
2747	1220	USA
2748	1221	JAM
2748	1222	LCA
2752	1223	GBR
2753	1224	USA
2753	1225	JPN
2755	1226	AUS
2756	1227	SWE
2758	1228	CHN
2771	1229	USA
2772	1230	USA
2778	1231	CAN
2778	1232	FRA
2778	1233	DEU
2778	1234	ITA
2778	1235	KOR
2778	1236	ESP
2778	1237	TUR
2778	1238	GBR
2778	1239	USA
2781	1240	USA
2785	1241	DEU
2787	1242	USA
2797	1243	CAN
2798	1244	USA
2800	1245	USA
2801	1246	USA
2802	1247	USA
2805	1248	DNK
2812	1249	USA
2815	1250	USA
2815	1251	CAN
2816	1252	CAN
2818	1253	AUS
2818	1254	BRA
2818	1255	CAN
2818	1256	FRA
2818	1257	DEU
2818	1258	IND
2818	1259	IDN
2818	1260	MEX
2818	1261	PHL
2818	1262	ESP
2818	1263	THA
2818	1264	TUR
2818	1265	GBR
2818	1266	USA
2818	1267	VNM
2822	1268	CHN
2823	1269	GBR
2824	1270	CHN
2833	1271	KOR
2837	1272	USA
2840	1273	USA
2841	1274	AUT
2845	1275	GBR
2846	1276	ITA
2846	1277	DEU
2846	1278	PRT
2846	1279	USA
2846	1280	AUS
2848	1281	IND
2851	1282	USA
2854	1283	CAN
2854	1284	DEU
2854	1285	MDA
2854	1286	ESP
2854	1287	SWE
2854	1288	CHE
2855	1289	DEU
2856	1290	CHN
2857	1291	GHA
2860	1292	USA
2862	1293	USA
2865	1294	BRA
2865	1295	DEU
2865	1296	DNK
2865	1297	FRA
2865	1298	GBR
2865	1299	IDN
2865	1300	IND
2865	1301	JPN
2865	1302	KOR
2865	1303	MEX
2865	1304	NOR
2865	1305	PHL
2865	1306	SWE
2865	1307	SGP
2865	1308	THA
2865	1309	TUR
2865	1310	USA
2865	1311	VNM
2867	1312	USA
2869	1313	CAN
2869	1314	CAN
2869	1315	GBR
2875	1316	USA
2879	1317	USA
2880	1318	USA
2881	1319	FRA
2882	1320	KEN
2883	1321	TWN
2886	1322	CHE
2888	1323	USA
2888	1324	CAN
2891	1325	DNK
2892	1326	GBR
2893	1327	USA
2896	1328	USA
2896	1329	CAN
2896	1330	GBR
2906	1331	USA
2910	1332	USA
2924	1333	USA
2929	1334	USA
2931	1335	USA
2932	1336	NZL
2933	1337	USA
2937	1338	DEU
2938	1339	NLD
2940	1340	GBR
2942	1341	GBR
2942	1342	GBR
2942	1343	GBR
2946	1344	IND
2947	1345	GBR
2948	1346	AUS
2949	1347	USA
2951	1348	KOR
2953	1349	USA
2954	1350	BGD
2955	1351	USA
2957	1352	CHE
2958	1353	USA
2959	1354	NLD
2962	1355	IRL
2962	1356	ROU
2963	1357	USA
2964	1358	KOR
2964	1359	MYS
2964	1360	ITA
2964	1361	NLD
2964	1362	BRA
2964	1363	CHL
2964	1364	USA
2964	1365	AUS
2969	1366	CHN
2969	1367	COD
2969	1368	MEX
2969	1369	PHL
2969	1370	RUS
2969	1371	AFG
2969	1372	BRA
2969	1373	IRQ
2969	1374	JPN
2969	1375	NPL
2969	1376	VEN
2970	1377	CHE
2972	1378	USA
2974	1379	CAN
2977	1380	USA
2978	1381	GBR
2979	1382	DNK
2982	1383	USA
2982	1384	GBR
2982	1385	DEU
2982	1386	BRA
2982	1387	ITA
2982	1388	CHE
2983	1389	CAN
2984	1390	USA
2984	1391	GBR
2984	1392	AUS
2984	1393	CAN
2987	1394	USA
2990	1395	SAU
2991	1396	KOR
2994	1397	CHN
2994	1398	CHN
2994	1399	CHN
2994	1400	CHN
2994	1401	CHN
2994	1402	CHN
2994	1403	CHN
2994	1404	CHN
2994	1405	CHN
2994	1406	CHN
2994	1407	CHN
2994	1408	CHN
2994	1409	CHN
2994	1410	CHN
2994	1411	CHN
2994	1412	CHN
2994	1413	CHN
2994	1414	CAN
2994	1415	USA
2996	1416	CHN
3006	1417	USA
3007	1418	AUS
3009	1419	GBR
3009	1420	SGP
3009	1421	NLD
3009	1422	IRL
3009	1423	USA
3009	1424	BEL
3009	1425	SWE
3009	1426	CAN
3009	1427	AUS
3013	1428	USA
3016	1429	SYR
3016	1430	BGD
3016	1431	TUR
3016	1432	IRQ
3016	1433	IRN
3020	1434	USA
3026	1435	SGP
3029	1436	GBR
3030	1437	GBR
3033	1438	IND
3034	1439	USA
3034	1440	ARG
3036	1441	DEU
3036	1442	AUT
3037	1443	CHE
3038	1444	KEN
3041	1445	GBR
3043	1446	AUS
3046	1447	JPN
3047	1448	ITA
3051	1449	USA
3052	1450	GBR
3053	1451	CHN
3054	1452	IND
3055	1453	DEU
3059	1454	USA
3060	1455	USA
3063	1456	PAK
3065	1457	NLD
3066	1458	USA
3068	1459	USA
3070	1460	USA
3070	1461	DEU
3070	1462	CAN
3070	1463	TUN
3070	1464	ITA
3070	1465	IND
3070	1466	BGR
3070	1467	ESP
3070	1468	CHN
3070	1469	CYP
3070	1470	FRA
3070	1471	IRN
3070	1472	IRL
3070	1473	MEX
3070	1474	PRT
3070	1475	RUS
3070	1476	SGP
3070	1477	SVN
3070	1478	SWE
3070	1479	GBR
3070	1480	UKR
3075	1481	CHN
3076	1482	GBR
3078	1483	CHN
3079	1484	CHN
3080	1485	TWN
3084	1486	CHN
3086	1487	USA
3087	1488	DEU
3090	1489	DEU
3091	1490	FIN
3093	1491	BTN
3095	1492	USA
3096	1493	DEU
3097	1494	USA
3098	1495	THA
3099	1496	DEU
3100	1497	DEU
3101	1498	CAN
3102	1499	USA
3102	1500	CAN
3104	1501	USA
3104	1502	CHE
3106	1503	CHN
3112	1504	CHE
3116	1505	FRA
3122	1506	DEU
3128	1507	NLD
3128	1508	JPN
3131	1509	AUS
3133	1510	USA
3143	1511	DNK
3147	1512	GBR
3150	1513	BEL
3150	1514	CAN
3150	1515	IND
3150	1516	LBN
3150	1517	ZAF
3150	1518	KOR
3150	1519	TUR
3150	1520	GBR
3150	1521	USA
3154	1522	GBR
3155	1523	JPN
3158	1524	KOR
3164	1525	USA
3168	1526	CZE
3171	1527	DEU
3180	1528	CAN
3181	1529	CAN
3182	1530	FIN
3186	1531	USA
3188	1532	NLD
3194	1533	USA
3195	1534	DEU
3198	1535	USA
3201	1536	DEU
3203	1537	JPN
3204	1538	GBR
3213	1539	USA
3224	1540	FIN
3229	1541	USA
3240	1542	USA
3242	1543	USA
3243	1544	KOR
3244	1545	FIN
3257	1546	DEU
3259	1547	DNK
3261	1548	CAN
3262	1549	USA
3265	1550	GBR
3268	1551	USA
3268	1552	CHN
