paper_id	id	country	city	nb_participants
2492	1059	USA	College Park	20
2493	1060	DEU	Munich	25
2497	1061	USA		114
2498	1062	ISR		20
2499	1063	GBR		28
2502	1064	PRT	Funchal	36
2503	1065	JPN	Tsukuba	25
2505	1066	DEU	Stuttgart	40
2509	1067	NLD	Eindhoven	67
2514	1068	USA		16
2514	1069	GBR		2
2519	1070	GBR		45
2521	1071	GRC		37
2521	1072	GBR		7
2526	1073	DEU	Köln	25
2528	1074	DEU	Bremen	50
2529	1075	AUS		8
2532	1076	AUS	Sydney	61
2533	1077	USA		114
2533	1078	CAN		2
2533	1079	DEU		2
2533	1080	AUT		1
2533	1081	DNK		1
2533	1082	MAR		1
2533	1083	PHL		1
2533	1084	GBR		1
2537	1085	USA		12
2538	1086	KOR	Seoul	10
2540	1087	USA		748
2541	1088	JPN		203
2542	1089	GBR		11
2543	1090	GBR		10
2548	1091	PAK		103
2549	1092	USA	Bloomington	18
2550	1093	IND		15
2554	1094	USA		21
2555	1095	AUS		20
2558	1096	GBR		16
2562	1097	USA		300
2566	1098	USA		88
2571	1099	HUN		1
2571	1100	ESP		2
2571	1101	SWE		4
2573	1102	DEU	Darmstadt	19
2574	1103	CHN		12
2575	1104	AUS		14
2582	1105	USA	Mountain View	12
2587	1106	AUT	Salzburg	25
2595	1107	USA		2
2595	1108	CAN		1
2595	1109	PHL		1
2595	1110	BRA		1
2595	1111	AUT		1
2598	1112	GBR		55
2600	1113	IND		14
2616	1114	USA		984
2619	1115	USA		8
2619	1116	JPN		5
2619	1117	DEU		2
2620	1118	USA	Mountain View	360
2623	1119	PRT		10
2624	1120	USA		187
2624	1121	IND		8
2626	1122	USA		11
2626	1123	CAN		1
2626	1124	AUS		5
2626	1125	NZL		1
2626	1126	GBR		2
2626	1127	DEU		3
2626	1128	JPN		2
2629	1129	SWE		89
2630	1130	USA	College Park	9
2631	1131	CAN	Waterloo	20
2634	1132	KOR		32
2636	1133	USA		27
2639	1134	USA		163
2642	1135	CHN	Hanzhou	18
2643	1136	PAK	Lahore	100
2644	1137	DEU		20
2644	1138	USA		9
2644	1139	PRT		9
2644	1140	DNK		4
2644	1141	FRA		4
2645	1142	USA		3105
2645	1143	IND		16
2645	1144	RUS		1
2645	1145	CHN		3
2645	1146	VNM		1
2645	1147	COL		1
